CellCenters:0,CellCenters:1,CellCenters:2
1.55,0.5,257.42
1.55,0.5,257.37
1.55,0.5,257.32
1.55,0.5,257.27
1.55,0.5,257.22
1.55,0.5,257.17
1.55,0.5,257.12
1.55,0.5,257.07
1.55,0.5,257.02
1.55,0.5,256.97
1.55,0.5,256.92
1.55,0.5,256.87
1.55,0.5,256.82
1.55,0.5,256.77
1.55,0.5,256.72
1.55,0.5,256.67
1.55,0.5,256.62
1.55,0.5,256.57
1.55,0.5,256.39
1.55,0.5,255.84
1.55,0.5,254.79
1.55,0.5,253.24
1.55,0.5,251.19
1.55,0.5,248.64
1.55,0.5,245.59
1.55,0.5,242.04
1.65,0.5,258.01
1.65,0.5,257.96
1.65,0.5,257.91
1.65,0.5,257.86
1.65,0.5,257.81
1.65,0.5,257.76
1.65,0.5,257.71
1.65,0.5,257.66
1.65,0.5,257.61
1.65,0.5,257.56
1.65,0.5,257.51
1.65,0.5,257.46
1.65,0.5,257.41
1.65,0.5,257.36
1.65,0.5,257.31
1.65,0.5,257.26
1.65,0.5,257.21
1.65,0.5,257.16
1.65,0.5,257.11
1.65,0.5,257.06
1.65,0.5,257.01
1.65,0.5,256.96
1.65,0.5,256.91
1.65,0.5,256.86
1.65,0.5,256.81
1.65,0.5,256.76
1.65,0.5,256.71
1.65,0.5,256.66
1.65,0.5,256.49
1.65,0.5,255.94
1.65,0.5,254.89
1.65,0.5,253.34
1.65,0.5,251.29
1.65,0.5,248.74
1.65,0.5,245.69
1.65,0.5,242.14
1.75,0.5,259.21
1.75,0.5,259.16
1.75,0.5,259.11
1.75,0.5,259.06
1.75,0.5,259.01
1.75,0.5,258.96
1.75,0.5,258.91
1.75,0.5,258.86
1.75,0.5,258.81
1.75,0.5,258.76
1.75,0.5,258.71
1.75,0.5,258.66
1.75,0.5,258.61
1.75,0.5,258.56
1.75,0.5,258.51
1.75,0.5,258.46
1.75,0.5,258.41
1.75,0.5,258.36
1.75,0.5,258.31
1.75,0.5,258.26
1.75,0.5,258.21
1.75,0.5,258.16
1.75,0.5,258.11
1.75,0.5,258.06
1.85,0.5,259.3
1.85,0.5,259.25
1.85,0.5,259.2
1.85,0.5,259.15
1.85,0.5,259.1
1.85,0.5,259.05
1.85,0.5,259
1.85,0.5,258.95
1.85,0.5,258.9
1.85,0.5,258.85
1.85,0.5,258.8
1.85,0.5,258.75
1.85,0.5,258.7
1.85,0.5,258.65
1.85,0.5,258.6
1.85,0.5,258.55
1.85,0.5,258.5
1.85,0.5,258.45
1.85,0.5,258.4
1.85,0.5,258.35
1.85,0.5,258.3
1.85,0.5,258.25
1.85,0.5,258.2
1.85,0.5,258.15
1.85,0.5,258.1
1.85,0.5,258.05
1.75,0.5,258.01
1.75,0.5,257.96
1.75,0.5,257.91
1.75,0.5,257.86
1.75,0.5,257.81
1.75,0.5,257.76
1.75,0.5,257.71
1.75,0.5,257.66
1.75,0.5,257.61
1.75,0.5,257.56
1.75,0.5,257.51
1.75,0.5,257.46
1.75,0.5,257.41
1.75,0.5,257.36
1.75,0.5,257.31
1.75,0.5,257.26
1.75,0.5,257.21
1.75,0.5,257.16
1.75,0.5,257.11
1.75,0.5,257.06
1.75,0.5,257.01
1.75,0.5,256.96
1.75,0.5,256.91
1.75,0.5,256.86
1.75,0.5,256.81
1.75,0.5,256.76
1.75,0.5,256.58
1.75,0.5,256.03
1.75,0.5,254.98
1.75,0.5,253.43
1.75,0.5,251.38
1.75,0.5,248.83
1.75,0.5,245.78
1.75,0.5,242.23
1.85,0.5,258
1.85,0.5,257.95
1.85,0.5,257.9
1.85,0.5,257.85
1.85,0.5,257.8
1.85,0.5,257.75
1.85,0.5,257.7
1.85,0.5,257.65
1.85,0.5,257.6
1.85,0.5,257.55
1.85,0.5,257.5
1.85,0.5,257.45
1.85,0.5,257.4
1.85,0.5,257.35
1.85,0.5,257.3
1.85,0.5,257.25
1.85,0.5,257.2
1.85,0.5,257.15
1.85,0.5,257.1
1.85,0.5,257.05
1.85,0.5,257
1.85,0.5,256.95
1.85,0.5,256.9
1.85,0.5,256.85
1.85,0.5,256.68
1.85,0.5,256.13
1.85,0.5,255.08
1.85,0.5,253.53
1.85,0.5,251.48
1.85,0.5,248.93
1.85,0.5,245.88
1.85,0.5,242.33
1.95,0.5,259.4
1.95,0.5,259.35
1.95,0.5,259.3
1.95,0.5,259.25
1.95,0.5,259.2
1.95,0.5,259.15
1.95,0.5,259.1
1.95,0.5,259.05
1.95,0.5,259
1.95,0.5,258.95
1.95,0.5,258.9
1.95,0.5,258.85
1.95,0.5,258.8
1.95,0.5,258.75
1.95,0.5,258.7
1.95,0.5,258.65
1.95,0.5,258.6
1.95,0.5,258.55
1.95,0.5,258.5
1.95,0.5,258.45
1.95,0.5,258.4
1.95,0.5,258.35
1.95,0.5,258.3
1.95,0.5,258.25
1.95,0.5,258.2
1.95,0.5,258.15
1.95,0.5,258.1
2.05,0.5,259.46
2.05,0.5,259.41
2.05,0.5,259.36
2.05,0.5,259.31
2.05,0.5,259.26
2.05,0.5,259.21
2.05,0.5,259.16
2.05,0.5,259.11
2.05,0.5,259.06
2.05,0.5,259.01
2.05,0.5,258.96
2.05,0.5,258.91
2.05,0.5,258.86
2.05,0.5,258.81
2.05,0.5,258.76
2.05,0.5,258.71
2.05,0.5,258.66
2.05,0.5,258.61
2.05,0.5,258.56
2.05,0.5,258.51
2.05,0.5,258.46
2.05,0.5,258.41
2.05,0.5,258.36
2.05,0.5,258.31
2.05,0.5,258.26
2.05,0.5,258.21
2.05,0.5,258.16
2.05,0.5,258.11
